CustomerID,Alice Mutton,Aniseed Syrup,Boston Crab Meat,Camembert Pierrot,Carnarvon Tigers,Chai,Chang,Chartreuse verte,Chef Anton's Cajun Seasoning,Chef Anton's Gumbo Mix,Chocolade,Côte de Blaye,Escargots de Bourgogne,Filo Mix,Flotemysost,Geitost,Genen Shouyu,Gnocchi di nonna Alice,Gorgonzola Telino,Grandma's Boysenberry Spread,Gravad lax,Guaraná Fantástica,Gudbrandsdalsost,Gula Malacca,Gumbär Gummibärchen,Gustaf's Knäckebröd,Ikura,Inlagd Sill,Ipoh Coffee,Jack's New England Clam Chowder,Konbu,Lakkalikööri,Laughing Lumberjack Lager,Longlife Tofu,Louisiana Fiery Hot Pepper Sauce,Louisiana Hot Spiced Okra,Manjimup Dried Apples,Mascarpone Fabioli,Maxilaku,Mishi Kobe Niku,Mozzarella di Giovanni,Nord-Ost Matjeshering,Northwoods Cranberry Sauce,NuNuCa Nuß-Nougat-Creme,Original Frankfurter grüne Soße,Outback Lager,Pavlova,Perth Pasties,Pâté chinois,Queso Cabrales,Queso Manchego La Pastora,Raclette Courdavault,Ravioli Angelo,Rhönbräu Klosterbier,Rogede sild,Röd Kaviar,Rössle Sauerkraut,Sasquatch Ale,Schoggi Schokolade,Scottish Longbreads,Singaporean Hokkien Fried Mee,Sir Rodney's Marmalade,Sir Rodney's Scones,Sirop d'érable,Spegesild,Steeleye Stout,Tarte au sucre,Teatime Chocolate Biscuits,Thüringer Rostbratwurst,Tofu,Tourtière,Tunnbröd,Uncle Bob's Organic Dried Pears,Valkoinen suklaa,Vegie-spread,Wimmers gute Semmelknödel,Zaanse koeken
BSBEV,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,20,0,0,0,0,0,0,0,21,0,0,30,0,23,0,0,0,0,0,3,0,6,0,1,0,0,0,0,7,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,29,0,15,20,10,0,0,0,0,0,34,0,0,9,0
CACTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,8,20,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CENTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOPS,0,0,0,10,0,15,30,0,0,0,0,0,0,0,0,0,0,72,0,0,8,15,40,0,0,0,16,0,0,0,6,0,0,41,0,0,30,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,28,0,40,0,0,0,21,0,0,0,0,0,0,0,42,30,0
COMMI,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,30,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,15,0,0,0,0,0,0,0,0
CONSH,0,0,0,0,0,0,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
DRACD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,12,0,0,0,0,9,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,30,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUMON,15,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EASTC,0,0,0,50,0,25,0,0,25,30,0,0,0,0,55,30,0,0,0,0,0,0,30,0,12,0,0,0,6,0,0,0,0,0,21,24,0,0,30,0,20,15,0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,21,0,0,0,100,0,0,0,0
ERNSH,121,45,91,160,9,0,50,175,0,97,70,20,0,0,30,60,0,100,170,0,0,248,110,77,35,52,100,0,0,13,78,0,0,86,114,60,120,6,0,0,24,60,0,0,0,38,146,0,65,45,86,180,49,57,27,0,48,60,30,0,40,39,120,186,45,76,80,0,26,11,80,60,18,0,100,69,0
FAMIA,0,0,4,12,0,0,0,50,0,0,0,0,0,4,0,50,0,0,0,0,0,25,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,25,6,0,0,0,0,56,0,0,0,10,0,0,0,0,0,0,9,0,0,18,0,0,30,0,0,0,0,0,6
FOLIG,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,18,0,0,40,0,0,15,35,0,0,0,6,0,35,0,30,0,30
FOLKO,0,0,0,0,0,0,65,46,50,0,0,0,30,0,6,0,0,60,2,0,0,0,0,10,0,25,0,0,0,72,0,68,0,0,0,50,88,0,0,0,24,35,0,0,0,59,0,0,36,56,0,35,0,56,0,59,0,0,0,21,0,0,0,30,25,0,6,0,50,0,0,30,60,0,20,0,60
FRANK,0,0,50,56,0,0,24,0,0,0,0,0,30,0,120,0,0,0,56,0,28,43,25,0,24,0,0,60,0,20,0,15,25,0,0,0,0,0,0,0,46,20,0,0,15,0,30,10,40,0,0,100,0,74,0,70,0,0,0,0,0,0,117,0,60,30,15,65,14,51,50,112,0,0,0,30,0
FRANR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,12,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0
FRANS,0,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
FURIB,0,0,0,22,0,0,0,0,16,0,6,0,0,0,0,0,0,42,0,0,0,10,0,55,0,0,24,0,3,0,0,10,0,0,55,0,0,0,0,0,0,0,0,0,7,0,40,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0
GALED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
GODOS,20,0,40,9,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,18,0,0,0,0,15,0,51,0,40,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,33,0,0,6,10,0,0,20,10,20,0,0,0,0,9,0,24,0
GOURL,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,20,14,30,0,0,0,0,0,0,20,0,0,4,0,20,0,0,0,0,28,0,0,0,0,17,40,0,0,0,0,0,0,0,4,20,0,20,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15
GREAL,0,0,0,0,0,8,0,0,0,0,0,45,0,0,15,8,0,14,0,0,0,0,0,28,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,12,0,0,4,20,30,2,3,0,0,0,0,0,28,6
GROSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
HANAR,15,0,0,0,20,0,0,42,0,0,0,69,0,12,9,0,0,20,65,0,0,70,30,0,0,0,70,40,30,10,40,0,0,0,72,0,35,0,40,0,0,0,0,0,70,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,35,0,0,0,0,0,0,0,0,0
HILAA,0,0,65,0,0,20,50,6,0,0,0,0,12,0,30,0,0,0,20,0,0,39,50,10,21,0,0,0,0,54,68,0,0,16,0,0,45,4,0,0,0,30,0,15,15,12,0,70,2,5,0,95,20,106,0,0,20,0,25,30,30,0,0,0,28,40,0,0,0,0,0,0,0,0,0,43,0
HUNGC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,21,0,0,0,0,10,0,0,15,14,0,0,0,0,0,0
HUNGO,0,0,40,6,33,15,47,3,20,0,0,0,129,0,103,0,0,30,85,30,0,0,0,0,0,0,18,46,20,110,0,35,0,0,60,0,51,41,0,50,0,54,0,0,35,30,36,23,0,40,0,112,0,20,0,0,0,30,0,0,22,0,0,0,0,0,15,0,150,70,0,0,0,40,35,0,0
ISLAT,0,0,0,21,0,0,10,0,0,0,0,0,0,0,27,12,0,15,0,0,0,0,0,0,0,0,0,0,0,20,10,16,0,0,0,0,0,0,0,0,10,0,20,0,0,50,0,2,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,30,0,10,2,5,0,0,0,15,0,0,0,0,0
KOENE,0,49,60,0,0,0,0,4,0,0,0,30,0,0,0,0,5,0,4,6,0,30,0,0,58,0,0,60,15,0,32,35,0,0,0,0,0,0,21,0,40,43,30,22,0,14,20,0,47,15,36,85,0,0,0,0,0,0,0,0,0,0,40,0,0,0,45,0,24,9,24,0,0,0,0,0,0
LACOR,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
LAMAI,0,0,0,0,0,24,15,0,0,0,0,0,0,0,0,20,12,0,0,0,0,10,28,16,0,0,0,47,10,0,3,34,24,0,15,10,0,0,0,0,0,0,0,10,0,0,20,0,10,0,0,0,0,8,0,0,8,10,0,0,10,0,0,0,10,0,40,0,20,0,0,0,0,15,0,3,0
LAUGB,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
LAZYK,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEHMS,15,0,35,55,0,40,0,0,0,0,0,0,0,8,0,30,25,14,20,20,0,0,20,21,5,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,25,45,24,0,25,0,0,0,0,25,15,25,0,20,0,0,0,0,15,4,0,21,0,0,0,0,0,0,18,0,10,0,0,0,0,80,0
LETSS,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,40,20,0,0,0,0,0,0,40,0,0,0,0,0,0
LILAS,0,0,0,43,0,0,0,8,0,0,0,0,0,20,0,0,20,0,0,0,0,0,15,0,66,0,30,0,0,0,0,0,0,14,0,0,0,50,25,0,28,28,0,0,30,35,30,0,60,32,30,40,15,0,0,0,20,0,0,0,0,0,40,0,20,0,0,18,0,0,0,70,0,0,0,0,0
LINOD,0,70,50,24,25,54,20,10,0,0,0,0,30,0,0,0,0,0,25,0,0,0,0,0,0,0,0,50,0,28,0,0,0,0,21,0,0,0,0,0,60,0,0,30,0,90,52,0,30,0,0,0,0,0,50,0,0,0,0,0,0,0,30,0,0,9,0,22,0,0,0,18,0,40,0,0,0
LONEP,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,10,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,20,1,0,0,0,0,7,0,0,13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
MAGAA,0,0,3,0,0,0,10,2,15,15,0,0,0,0,0,0,0,0,0,0,0,40,0,0,30,40,0,30,0,20,0,0,40,0,0,30,0,20,30,0,30,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAISD,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,6,6,0,0,0,30,0,0,6,0,0,0,0,0,0,0,0,15,0,20,12,0,0,0,0,14,0,0,40,0,0,15,0,20,0,40,20,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEREP,70,0,0,70,40,20,0,0,10,0,0,49,0,0,15,0,0,80,42,70,0,25,0,0,0,40,16,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,60,0,46,0,0,15,15,20,0,0,0,0,0,0,0,45,10,0,42,5,0,60,31,0,0,0,0,0,0,0,0,24,16
MORGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,0,12,0,0,0,0,20,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,6,0,12
NORTS,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCEAN,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,12,0,0,6,0,0,0,0
OLDWO,20,0,0,0,25,0,0,30,0,0,0,0,30,24,0,0,0,44,34,0,0,0,0,12,0,0,0,0,24,0,0,50,0,0,15,0,16,0,0,0,0,15,0,0,0,0,120,0,0,0,0,8,0,0,0,0,0,0,50,0,40,0,15,6,0,0,0,0,25,0,0,0,0,0,0,0,0
OTTIK,0,0,20,30,0,0,40,10,0,0,0,0,0,0,15,0,0,0,9,0,0,0,15,0,0,0,24,0,0,45,10,0,0,0,30,0,15,0,0,0,0,0,0,0,31,21,30,9,0,30,0,0,50,0,0,0,0,0,0,40,0,0,0,0,0,0,35,0,0,15,0,20,55,0,0,0,40
PERIC,0,0,21,4,0,12,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,21,0,18,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0
PICCO,70,0,0,0,35,0,0,0,0,0,0,50,0,0,0,0,0,0,8,0,0,35,80,0,15,35,0,0,25,35,0,50,0,0,12,0,0,20,0,0,0,0,0,0,0,0,18,0,0,27,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,35,0,0,0,0,9,25,0
PRINI,0,0,0,0,0,15,0,20,18,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,31,0,0,0,0,0,10,0,0,0,0,0,0,0,0
QUEDE,0,0,0,0,0,0,0,20,0,0,0,0,0,0,8,0,0,0,0,40,0,0,0,24,36,0,0,0,0,12,20,0,0,0,20,0,2,0,0,0,0,0,0,0,30,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,61,0,34,0,15,6,0,0,0,16,0,0
QUEEN,0,0,32,85,0,10,0,0,36,0,24,40,15,6,25,40,0,60,20,0,0,35,0,0,50,0,0,5,0,0,0,60,0,0,0,0,0,0,42,0,42,30,30,0,0,40,0,0,12,10,0,0,0,42,0,0,42,0,0,0,0,12,30,0,0,30,0,5,0,0,24,0,0,25,0,0,0
QUICK,0,60,170,243,64,75,121,134,50,0,0,90,60,0,35,36,0,0,70,0,0,0,9,90,103,0,24,42,64,0,97,167,0,15,108,0,92,0,0,16,42,0,70,0,125,70,50,56,120,0,0,70,0,40,100,0,0,0,120,35,191,35,60,16,0,125,88,130,40,0,0,70,135,0,0,83,55
RANCH,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
RATTC,73,0,0,21,0,18,15,0,25,12,0,70,30,0,69,0,0,122,81,0,0,30,0,0,0,0,0,0,15,10,0,30,0,0,20,0,0,40,0,0,24,18,0,35,30,0,0,28,25,40,0,60,0,24,0,0,0,0,50,0,0,6,0,0,0,0,185,0,0,0,0,0,75,0,0,30,0
REGGC,20,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,10,16,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,28,0,40,0,0,0,20,0,0,0,0,6,0,10,0,0,0,0,12,0,0,3,0,0,0,0,20,0,10,0,0,0,10,0,40,0,0,0,0
RICAR,0,0,0,40,25,0,37,0,0,0,0,0,0,70,2,0,0,0,0,0,0,15,0,0,0,15,0,25,0,0,0,0,0,0,35,0,0,0,24,0,0,0,0,10,0,20,70,0,0,0,0,42,10,0,0,0,0,20,0,18,0,0,0,0,50,0,0,55,0,0,0,0,0,0,0,0,0
RICSU,0,0,0,60,0,0,20,0,0,0,0,0,20,60,0,15,0,0,30,0,0,0,56,0,32,0,0,25,0,6,42,0,0,0,10,0,6,0,0,0,21,30,0,0,0,40,35,70,0,0,0,30,30,50,0,24,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,20,0,0,0
ROMEY,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,10,0,0,0,0,2,0,20,0,0,0,0,2,4,0,0,0,0,4,0,1,0,0,5,10,0,0,0,0,0
SANTG,0,0,0,0,8,0,0,0,0,0,0,8,0,0,15,0,0,0,0,0,0,23,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,18,0,15,5,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,12,0,0,0,0
SAVEA,204,0,82,115,0,130,203,0,0,70,0,0,12,0,131,60,50,131,126,0,60,59,50,100,100,48,88,95,0,198,248,80,0,0,0,0,20,0,63,0,62,0,0,7,0,0,125,145,164,0,100,147,15,198,146,35,15,42,0,220,49,0,0,90,99,115,75,59,120,72,62,44,45,0,80,44,60
SEVES,25,0,0,80,0,40,0,20,0,0,0,0,0,20,0,0,0,0,70,0,18,80,0,0,0,0,36,60,0,6,0,0,0,0,0,0,28,24,4,0,0,0,0,0,0,0,56,40,0,60,0,0,0,0,15,0,44,0,0,20,0,15,0,0,0,0,0,0,0,0,7,50,0,0,0,0,0
SIMOB,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,24,25,0,0,35,0,0,0,60,0,0,9,0,0,0,0,0,0,0,36,0,0,30,20,2,0,5,0,0,0,0,0,0,0,0,0,0
SPECD,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPLIR,0,0,0,20,21,0,0,0,0,0,0,20,0,0,0,24,0,30,0,0,0,0,20,0,10,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,20,0,10,20,0,64,0,10,0,10,0,0
SUPRD,40,0,5,40,0,10,20,0,21,0,0,0,30,2,80,25,0,45,35,0,0,12,0,0,30,0,16,0,32,0,0,42,0,20,0,60,0,0,0,0,0,0,0,0,40,60,0,0,25,0,0,50,0,0,0,0,58,0,25,0,82,40,36,0,0,60,0,21,0,0,10,0,0,0,0,0,0
THEBI,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
THECR,0,0,10,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
TOMSP,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,28,3,0,0,20,0,0,0,0,0,0,0,14,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,30,0,0,0,0,0,0,0,0,0,39,0,9,0,0,0,0,0,0,0
