CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,Phone_Clean
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,Bilinmiyor,28034,Spain,(91) 555 94 44,(91) 555 55 93,915559444
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,"184, chaussée de Tournai",Lille,Bilinmiyor,59000,France,20.16.10.16,20.16.10.17,20.16.10.16
FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,Bilinmiyor,S-844 67,Sweden,0695-34 67 21,Yok,0695346721
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,Bilinmiyor,80805,Germany,089-0877310,089-0877451,0890877310
FRANR,France restauration,Carine Schmitt,Marketing Manager,"54, rue Royale",Nantes,Bilinmiyor,44000,France,40.32.21.21,40.32.21.20,40.32.21.21
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,Bilinmiyor,10100,Italy,011-4988260,011-4988261,0114988260
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,Bilinmiyor,1675,Portugal,(1) 354-2534,(1) 354-2535,13542534
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,"Rambla de Cataluña, 23",Barcelona,Bilinmiyor,08022,Spain,(93) 203 4560,(93) 203 4561,932034560
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,Bilinmiyor,41101,Spain,(95) 555 82 82,Yok,955558282
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,(11) 555-9482,Yok,115559482
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,Yok,5035557555
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397,22832951
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,215550091
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,55551340
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376,5035556874
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,Bilinmiyor,Ireland,2967 542,2967 3333,2967542
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,Yok,1985558888
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,Bilinmiyor,14776,Germany,0555-09876,Yok,055509876
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,"67, avenue de l'Europe",Versailles,Bilinmiyor,78000,France,30.59.84.10,30.59.85.11,30.59.84.10
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,Bilinmiyor,31000,France,61.77.61.10,61.77.61.11,61.77.61.10
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293,6045553392
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221,5095557969
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,Bilinmiyor,60528,Germany,069-0245984,069-0245874,0690245984
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938,Yok,4155555938
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256,93316954
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,8345612
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646,5035559573
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,Bilinmiyor,24100,Italy,035-640230,035-640231,035640230
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,Bilinmiyor,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68,022012467
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055,5145558054
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,Bilinmiyor,04179,Germany,0342-023176,Yok,0342023176
NORTS,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,Bilinmiyor,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530,1715557733
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,Bilinmiyor,1010,Argentina,(1) 135-5333,(1) 135-5535,11355333
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880,9075557584
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,Bilinmiyor,50739,Germany,0221-0644327,0221-0765721,02210644327
PARIS,Paris spécialités,Marie Bertrand,Owner,"265, boulevard Charonne",Paris,Bilinmiyor,75012,France,(1) 42.34.22.66,(1) 42.34.22.77,142.34.22.66
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,Bilinmiyor,05033,Mexico,(5) 552-3745,(5) 545-3745,55523745
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,Bilinmiyor,5020,Austria,6562-9722,6562-9723,65629722
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,Bilinmiyor,1756,Portugal,(1) 356-5634,Yok,13565634
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545,215554252
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,Yok,115551189
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,Bilinmiyor,01307,Germany,0372-035188,Yok,0372035188
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,Bilinmiyor,1010,Argentina,(1) 123-5555,(1) 123-5556,11235555
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,5055555939
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,Bilinmiyor,42100,Italy,0522-556721,0522-556722,0522556721
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,Yok,215553412
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,Bilinmiyor,1203,Switzerland,0897-034214,Yok,0897034214
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Vía, 1",Madrid,Bilinmiyor,28001,Spain,(91) 745 6200,(91) 745 6210,917456200
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,Bilinmiyor,4110,Norway,07-98 92 35,07-98 92 47,07989235
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,Yok,2085558097
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,Bilinmiyor,OX15 4NB,UK,(171) 555-1717,(171) 555-5646,1715551717
SIMOB,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,Kobenhavn,Bilinmiyor,1734,Denmark,31 12 34 56,31 13 35 57,31123456
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,"25, rue Lauriston",Paris,Bilinmiyor,75016,France,(1) 47.55.60.10,(1) 47.55.60.20,147.55.60.10
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525,3075554680
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,Bilinmiyor,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,07123672220
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,Yok,5035553612
THECR,The Cracker Box,Liu Wong,Marketing Assistant,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083,4065555834
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,Bilinmiyor,44087,Germany,0251-031259,0251-035695,0251031259
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,México D.F.,Bilinmiyor,05033,Mexico,(5) 555-2933,Yok,55552933
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168,115552167
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174,2065558257
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,Bilinmiyor,8200,Denmark,86 21 32 43,86 22 33 44,86213243
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,Bilinmiyor,69004,France,78.32.54.86,78.32.54.87,78.32.54.86
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,Bilinmiyor,51100,France,26.47.15.10,26.47.15.11,26.47.15.10
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,Bilinmiyor,70563,Germany,0711-020361,0711-035428,0711020361
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,Bilinmiyor,90110,Finland,981-443655,981-443655,981443655
WELLI,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122,Yok,145558122
WHITC,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,2065554112
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,Bilinmiyor,21240,Finland,90-224 8858,90-224 8858,902248858
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,Bilinmiyor,01-012,Poland,(26) 642-7012,(26) 642-7012,266427012
